Vehicle Name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_powe_bhp,Seats
Datsun RediGO Gold 1.0,3.29,3.5,2018,2,Individual,"27,263",First Owner,Petrol,Manual,22.5,999 CC,68,5
Tata Indigo eLX BS IV,,2.65,2014,6,Individual,"90,000",First Owner,Diesel,Manual,25,1396 CC,69.01,5
Hyundai Verna 1.6 CRDI,12.84,5.2,2014,6,Individual,"1,10,000",First Owner,Diesel,Manual,22.32,1582 CC,126.3,5
Hyundai i20 Asta Option 1.4 CRDi,9.59,7.5,2016,4,Individual,"70,000",First Owner,Diesel,Manual,22.54,1396 CC,88.73,5
Maruti Swift Dzire VDI,,5.6,2017,3,Individual,"70,000",First Owner,Diesel,Manual,26.59,1248 CC,74,5
Tata Vista TDI LS,,2,2014,6,Individual,"1,90,000",First Owner,Diesel,Manual,19.1,1405 CC,70,5
Hyundai Xcent 1.2 CRDi SX,,6,2017,3,Individual,"40,000",First Owner,Diesel,Manual,25.4,1186 CC,73.97,5
Hyundai i20 1.2 Spotz,8.03,6.55,2019,1,Dealer,"39,000",First Owner,Petrol,Manual,18.6,1197 CC,81.83,5
Hyundai Santro Xing XE,,1.25,2007,13,Dealer,"56,000",First Owner,Petrol,Manual,17.8,1086 CC,63,5
Toyota Corolla Altis 1.8 VL AT,,4.25,2009,11,Dealer,"58,000",First Owner,Petrol,Automatic,14.53,1794 CC,138.1,5
Maruti Omni E MPI STD BS IV,,2.2,2017,3,Individual,"40,000",First Owner,Petrol,Manual,16.8,796 CC,34.2,8
Hyundai i20 1.2 Spotz,7.83,5.5,2018,2,Individual,"34,000",First Owner,Petrol,Manual,18.6,1197 CC,81.83,5
Mahindra Scorpio 1.99 S10,15.1,11.5,2017,3,Individual,"50,000",First Owner,Diesel,Manual,15.4,1997 CC,120,7
Volkswagen Vento Diesel Highline,,5,2012,8,Individual,"77,400",First Owner,Diesel,Manual,20.54,1598 CC,103.6,5
Mahindra Marazzo M2 BSIV,13.89,9.9,2019,1,Individual,"36,000",First Owner,Diesel,Manual,17.3,1497 CC,121,7
Hyundai Verna SX Opt Diesel,12.74,5.51,2013,7,Dealer,"47,876",First Owner,Diesel,Manual,25,1493 CC,113.42,5
Mahindra XUV500 W11 Option AT BSIV,16.54,16.5,2018,2,Individual,"21,500",First Owner,Diesel,Automatic,15.1,2179 CC,152.87,7
Hyundai Grand i10 CRDi Magna,,3.5,2015,5,Dealer,"75,000",First Owner,Diesel,Manual,24,1120 CC,70,5
Ford Aspire 1.2 Ti-VCT Titanium,6.85,5,2017,3,Dealer,"58,000",First Owner,Petrol,Manual,18.16,1196 CC,86.8,5
Maruti Swift Dzire VXI 1.2,6.85,5.75,2018,2,Individual,"30,000",First Owner,Petrol,Manual,21.21,1197 CC,81.8,5
Hyundai Grand i10 1.2 CRDi Asta,,5.45,2018,2,Individual,"50,000",First Owner,Diesel,Manual,24,1186 CC,73.97,5
Ford Figo 1.2P Titanium MT,6.02,5.25,2017,3,Trustmark Dealer,"19,093",First Owner,Petrol,Manual,18.16,1196 CC,86.8,5
Honda Amaze E i-Vtech,7.02,4,2014,6,Individual,"50,000",First Owner,Petrol,Manual,18,1198 CC,86.7,5
Maruti Wagon R LXI BSIII,5.16,1.55,2006,14,Dealer,"37,000",First Owner,Petrol,Manual,14,1061 CC,64,5
Mahindra Supro VX 8 Str,,5.4,2019,1,Individual,"3,888",First Owner,Diesel,Manual,23.5,909 CC,45,8
Maruti Swift Dzire VDI,,5.45,2016,4,Dealer,"47,000",First Owner,Diesel,Manual,26.59,1248 CC,74,5
Honda City V MT,13.13,5.45,2013,7,Individual,"70,000",First Owner,Petrol,Manual,16.8,1497 CC,116.3,5
Renault KWID RXL,3.62,2.4,2016,4,Individual,"25,000",First Owner,Petrol,Manual,25.17,799 CC,53.3,5
Maruti Vitara Brezza LDi Option,,7.25,2018,2,Dealer,"26,000",First Owner,Diesel,Manual,24.3,1248 CC,88.5,5
Ford Aspire 1.2 Ti-VCT Titanium Opt,6.85,4.8,2017,3,Individual,"30,000",First Owner,Petrol,Manual,18.16,1196 CC,86.8,5
Hyundai i20 Magna Optional 1.2,7.83,3.75,2013,7,Individual,"15,000",First Owner,Petrol,Manual,18.5,1197 CC,82.9,5
Maruti Swift VDi BSIII W/ ABS,,2.25,2011,9,Individual,"1,60,000",First Owner,Diesel,Manual,17.8,1248 CC,75,5
Tata Tiago 1.2 Revotron XZ,5.63,4,2017,3,Individual,"32,100",First Owner,Petrol,Manual,23.84,1199 CC,84,5
Hyundai i20 Magna Optional 1.2,8.03,5.5,2016,4,Dealer,"22,000",First Owner,Petrol,Manual,18.5,1197 CC,82.9,5
Mahindra Scorpio S10 7 Seater,,10.5,2016,4,Dealer,"44,000",First Owner,Diesel,Manual,15.4,2179 CC,120,7
Volkswagen Polo 1.2 MPI Trendline,6.94,4.5,2016,4,Dealer,"78,000",First Owner,Petrol,Manual,18.78,1198 CC,74,5
Mercedes-Benz C-Class C 200 CGI Elegance,47.62,7.75,2012,8,Dealer,"74,352",First Owner,Petrol,Automatic,11.74,1796 CC,186,5
Maruti Wagon R VXI,5.16,3.5,2014,6,Individual,"37,000",First Owner,Petrol,Manual,20.51,998 CC,67.04,5
Honda City i DTEC VX Option,14.79,5.5,2014,6,Dealer,"69,000",First Owner,Diesel,Manual,25.1,1498 CC,98.6,5
Kia Seltos HTK Plus G,11.19,10.8,2019,1,Individual,"12,120",First Owner,Petrol,Manual,16.8,1497 CC,113.4,5
Maruti Baleno Delta,,5.75,2016,4,Dealer,"52,000",First Owner,Petrol,Manual,21.01,1197 CC,81.8,5
Toyota Innova 2.5 G (Diesel) 8 Seater,,9.5,2016,4,Individual,"1,20,000",First Owner,Diesel,Manual,12.99,2494 CC,100.6,8
Maruti Alto 800 LXI,3.47,2.3,2013,7,Individual,"55,000",First Owner,Petrol,Manual,22.74,796 CC,47.3,5
Hyundai i20 1.4 CRDi Magna,8.6,2.7,2011,9,Individual,"1,60,000",First Owner,Diesel,Manual,21.9,1396 CC,90,5
Chevrolet Beat Diesel LS,,1.65,2012,8,Dealer,"42,000",First Owner,Diesel,Manual,25.44,936 CC,56.3,5
Ford Figo Petrol EXI,6.13,1.3,2011,9,Individual,"40,000",First Owner,Petrol,Manual,15.6,1196 CC,70,5
Maruti Swift Dzire VXI,6.53,3.7,2012,8,Dealer,"46,000",First Owner,Petrol,Manual,19.1,1197 CC,85.8,5
Maruti Baleno Delta 1.2,6.68,5.7,2017,3,Dealer,"25,000",First Owner,Petrol,Manual,21.4,1197 CC,83.1,5
Toyota Etios GD,,3.9,2015,5,Individual,"2,40,000",First Owner,Diesel,Manual,23.59,1364 CC,67.05,5
Volkswagen Polo Diesel Comfortline 1.2L,,3.65,2013,7,Dealer,"90,000",First Owner,Diesel,Manual,22.07,1199 CC,73.9,5
Hyundai i20 Magna,,2.8,2012,8,Dealer,"49,566",First Owner,Petrol,Manual,18.5,1197 CC,82.85,5
Hyundai Verna CRDi 1.6 AT SX Option,13.09,12.5,2018,2,Dealer,"14,000",First Owner,Diesel,Automatic,22,1582 CC,126.2,5
Hyundai i20 2015-2017 Sportz 1.2,8.03,5.9,2016,4,Dealer,"11,000",First Owner,Petrol,Manual,18.6,1197 CC,81.83,5
Maruti Celerio VXI AMT BSIV,5.3,4.75,2018,2,Individual,"5,000",First Owner,Petrol,Automatic,23.1,998 CC,67.04,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,10.14,6.85,2017,3,Dealer,"55,000",First Owner,Diesel,Manual,23,1498 CC,98.96,5
Hyundai Verna SX CRDi AT,,3.8,2012,8,Dealer,"65,000",First Owner,Diesel,Automatic,19.08,1582 CC,126.32,5
Renault KWID 1.0 RXT Optional,3.97,3.3,2018,2,Individual,"22,000",First Owner,Petrol,Manual,23.01,999 CC,67,5
Maruti Baleno Delta,6.68,6.5,2018,2,Trustmark Dealer,"7,671",First Owner,Petrol,Manual,21.01,1197 CC,81.8,5
Maruti Wagon R LXI,5.11,3.25,2016,4,Individual,"66,000",First Owner,Petrol,Manual,20.51,998 CC,67.04,5
Maruti Swift Dzire AMT VXI,6.56,6.4,2018,2,Dealer,"45,156",First Owner,Petrol,Automatic,21.21,1197 CC,81.8,5
Hyundai Venue SX Opt Turbo BSIV,7.19,9.49,2019,1,Individual,"25,000",First Owner,Petrol,Manual,18.27,998 CC,118.35,5
Nissan Terrano XL Plus 85 PS,,7.5,2015,5,Individual,"70,000",First Owner,Diesel,Manual,20.45,1461 CC,83.8,5
Hyundai Verna 1.6 CRDi SX,12.84,6.6,2015,5,Individual,"1,20,000",First Owner,Diesel,Manual,23.9,1582 CC,126.2,5
Maruti Swift VXi BSIV,6.35,4.35,2014,6,Dealer,"28,000",First Owner,Petrol,Manual,16.1,1197 CC,85,5
Hyundai i20 Sportz 1.4 CRDi,9.74,3.85,2013,7,Dealer,"55,000",First Owner,Diesel,Manual,21.9,1396 CC,88.76,5
Hyundai Santa Fe 4X2,,10,2011,9,Individual,"1,04,000",First Owner,Diesel,Manual,14.66,2199 CC,194.3,7
Hyundai Verna CRDi 1.6 AT SX Option,13.09,12.5,2019,1,Dealer,"14,000",First Owner,Diesel,Automatic,22,1582 CC,126.2,5
Hyundai Xcent 1.2 VTVT SX,,5.5,2017,3,Individual,"18,000",First Owner,Petrol,Manual,20.14,1197 CC,81.86,5
Maruti Wagon R LX BS IV,5.3,1.55,2009,11,Dealer,"98,780",First Owner,Petrol,Manual,18.9,998 CC,67.1,5
Maruti Swift VDI BSIV,,4.15,2015,5,Dealer,"58,000",First Owner,Diesel,Manual,25.2,1248 CC,74,5
Maruti Alto K10 2010-2014 VXI,,2.51,2011,9,Individual,"30,000",First Owner,Petrol,Manual,20.92,998 CC,67.1,5
Mahindra Scorpio S10 7 Seater,15.1,11.5,2016,4,Dealer,"46,400",First Owner,Diesel,Manual,15.4,2179 CC,120,7
Hyundai i10 Magna 1.1L,,3.1,2014,6,Trustmark Dealer,"32,111",First Owner,Petrol,Manual,19.81,1086 CC,68.05,5
Datsun GO Plus T BSIV,4.8,3.5,2015,5,Individual,"35,000",First Owner,Petrol,Manual,19.44,1198 CC,67,7
Mahindra Scorpio 1.99 S6 Plus,15.1,11.25,2017,3,Dealer,"30,000",First Owner,Diesel,Manual,15.4,1997 CC,120,7
BMW 5 Series 530d M Sport,,26,2016,4,Dealer,"63,000",First Owner,Diesel,Automatic,18.59,2993 CC,261.49,5
Chevrolet Beat LT,,2,2017,3,Individual,"43,890",First Owner,Petrol,Manual,17.8,1199 CC,76.8,5
Datsun GO Plus Anniversary Edition,4.97,4.8,2018,2,Individual,"10,000",First Owner,Petrol,Manual,20.62,1198 CC,67,7
Maruti Swift Dzire AMT ZDI Plus,,8.5,2017,3,Individual,"25,000",First Owner,Diesel,Automatic,28.4,1248 CC,74.02,5
Hyundai Creta 1.6 CRDi AT SX Plus,11.7,11,2017,3,Dealer,"1,02,000",First Owner,Diesel,Automatic,17.01,1582 CC,126.2,5
Maruti Swift VXI 2018,,5.75,2018,2,Dealer,"35,000",First Owner,Petrol,Manual,22,1197 CC,81.8,5
Hyundai Santro LP,5.51,1.6,2007,13,Individual,"54,000",First Owner,Petrol,Manual,0,999 CC,null ,5
Maruti Swift Dzire VXi,6.56,3.4,2012,8,Dealer,"49,948",First Owner,Petrol,Manual,17.5,1298 CC,85.8,5
Tata Indigo eLX BS IV,,5.59,2018,2,Individual,"1,14,851",First Owner,Diesel,Manual,25,1396 CC,69.01,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,10.15,9.25,2018,2,Individual,"55,000",First Owner,Diesel,Manual,23,1498 CC,98.96,5
Hyundai Grand i10 Magna,6.48,4,2015,5,Dealer,"36,000",First Owner,Petrol,Manual,18.9,1197 CC,82,5
Hyundai Xcent 1.2 CRDi S,,5.6,2019,1,Individual,"35,000",First Owner,Diesel,Manual,25.4,1186 CC,73.97,5
Honda City i VTEC VX Option,12.68,7.25,2016,4,Dealer,"49,625",First Owner,Petrol,Manual,17.8,1497 CC,117.3,5
Maruti Swift Dzire ZDI,,6,2014,6,Individual,"35,000",First Owner,Diesel,Manual,23.4,1248 CC,74,5
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,14.79,5.5,2013,7,Individual,"95,000",First Owner,Diesel,Manual,12.05,2179 CC,120,8
Ford Aspire 1.5 TDCi Titanium,9.72,5.85,2017,3,Dealer,"36,000",First Owner,Diesel,Manual,25.83,1498 CC,99,5
Maruti Wagon R VXI,5.36,4.11,2019,1,Individual,"50,000",First Owner,Petrol,Manual,21.79,998 CC,67.05,5
Maruti Swift Dzire VXI,6.8,4.5,2015,5,Individual,"26,500",First Owner,Petrol,Manual,20.85,1197 CC,83.14,5
Honda CR-V 2.0L 2WD AT,32.64,12.9,2015,5,Dealer,"80,000",First Owner,Petrol,Automatic,13.7,1997 CC,153.86,5
Volkswagen Polo 1.2 MPI Highline,,4.55,2015,5,Dealer,"46,000",First Owner,Petrol,Manual,16.47,1198 CC,74,5
Hyundai Grand i10 Nios Asta,5.96,7.1,2019,1,Individual,"9,000",First Owner,Petrol,Manual,20.7,1197 CC,81.86,5
Mahindra TUV 300 T4,,4.5,2016,4,Individual,"70,000",First Owner,Diesel,Manual,18.49,1493 CC,100,7
Toyota Etios Liva 1.2 VX,,4.65,2015,5,Dealer,"33,000",First Owner,Petrol,Manual,17.71,1197 CC,78.9,5
Honda City V MT,12.68,7.7,2016,4,Dealer,"53,000",First Owner,Petrol,Manual,16.8,1497 CC,116.3,5
Tata Indigo LS (TDI) BS-III,,3.2,2015,5,Individual,"50,000",First Owner,Diesel,Manual,19.09,1405 CC,69.01,5
Tata Indigo LX (TDI) BS-III,,3.25,2015,5,Individual,"50,000",First Owner,Diesel,Manual,19.09,1405 CC,69.01,5
Ford Endeavour 3.2 Titanium AT 4X4,36.27,29,2018,2,Individual,"11,387",First Owner,Diesel,Automatic,10.91,3198 CC,197,7
Honda Amaze VX i-DTEC,8.99,7.2,2018,2,Individual,"50,000",First Owner,Diesel,Manual,25.8,1498 CC,98.6,5
Mahindra KUV 100 mFALCON D75 K6 5str,,3.75,2016,4,Dealer,"52,000",First Owner,Diesel,Manual,25.32,1198 CC,77,5
Chevrolet Aveo 1.4 LT ABS BSIV,,1.45,2010,10,Individual,"60,000",First Owner,Petrol,Manual,14.49,1399 CC,92.7,5
Datsun GO Plus T BSIV,4.8,4,2015,5,Individual,"35,000",First Owner,Petrol,Manual,19.44,1198 CC,67,7
Renault Duster 85PS Diesel RxL Plus,,6,2015,5,Individual,"48,000",First Owner,Diesel,Manual,19.87,1461 CC,83.8,5
Honda Jazz 1.2 V i VTEC,8.56,6,2018,2,Individual,"18,000",First Owner,Petrol,Manual,18.7,1199 CC,88.7,5
Maruti Wagon R LXI DUO,,2.7,2012,8,Individual,"57,413",First Owner,LPG,Manual,14.4,998 CC,61.7,5
Hyundai i20 Magna 1.2,7.63,5,2015,5,Individual,"30,000",First Owner,Petrol,Manual,18.6,1197 CC,81.83,5
Hyundai Verna 1.6 CRDi SX,13.09,6.5,2015,5,Dealer,"55,000",First Owner,Diesel,Manual,23.9,1582 CC,126.2,5
Chevrolet Sail 1.2 LS ABS,,3.8,2015,5,Individual,"1,20,000",First Owner,Petrol,Manual,18.2,1199 CC,82.4,5
Mitsubishi Pajero Sport 4X4,,7.28,2012,8,Individual,"1,65,000",First Owner,Diesel,Manual,13.5,2477 CC,175.56,7
Maruti Swift AMT ZXI,6.29,6.6,2018,2,Individual,"10,000",First Owner,Petrol,Automatic,21.21,1197 CC,81.8,5
Tata Indica Vista Aura 1.3 Quadrajet,,1.8,2010,10,Individual,"1,20,000",First Owner,Diesel,Manual,18,1248 CC,75,5
BMW 3 Series 320d Luxury Line,,20.9,2016,4,Dealer,"68,000",First Owner,Diesel,Automatic,22.69,1995 CC,190,5
Chevrolet Beat Diesel LS,,2.5,2015,5,Dealer,"55,000",First Owner,Diesel,Manual,25.44,936 CC,56.3,5
Kia Seltos HTK Plus G,11.52,12.75,2020,0,Dealer,"8,000",First Owner,Petrol,Manual,16.8,1497 CC,113.4,5
Toyota Corolla Altis G,,4.55,2012,8,Dealer,"80,000",First Owner,Petrol,Manual,14.53,1798 CC,138.1,5
Maruti Swift VDI,,4.95,2015,5,Dealer,"65,000",First Owner,Diesel,Manual,28.4,1248 CC,74,5
Maruti Ritz VXI,,2.2,2010,10,Individual,"47,000",First Owner,Petrol,Manual,21.1,1197 CC,85.8,5
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,,8,2018,2,Individual,"1,85,000",First Owner,Diesel,Manual,25.1,1248 CC,88.5,5
Hyundai Santa Fe 2WD AT,,12.95,2014,6,Dealer,"68,000",First Owner,Diesel,Automatic,13.01,2199 CC,194.3,7
Hyundai Grand i10 Sportz,7.11,4.75,2016,4,Individual,"25,000",First Owner,Petrol,Manual,18.9,1197 CC,82,5
Tata Sumo Gold EX,,3.8,2014,6,Individual,"2,80,000",First Owner,Diesel,Manual,15.3,2956 CC,83.83,7
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,,9,2018,2,Individual,"7,791",First Owner,Diesel,Manual,25.1,1248 CC,88.5,5
Maruti Ciaz VXi Plus,9.42,5.3,2015,5,Individual,"70,000",First Owner,Petrol,Manual,20.73,1373 CC,91.1,5
Tata Tiago 1.2 Revotron XZ,5.53,5.3,2016,4,Individual,"9,500",First Owner,Petrol,Manual,23.84,1199 CC,84,5
Hyundai Verna 1.6 VTVT S,10.18,6.5,2015,5,Individual,"9,100",First Owner,Petrol,Manual,17.01,1591 CC,121.3,5
Honda New Accord 2008-2011 2.4 MT,,4.95,2010,10,Dealer,"82,000",First Owner,Petrol,Manual,12.8,2354 CC,177.6,5
Honda City 1.5 S MT,12.24,3.35,2010,10,Dealer,"86,000",First Owner,Petrol,Manual,17,1497 CC,118,5
Audi Q5 40 TDI Technology,,46.75,2020,0,Dealer,"19,000",First Owner,Diesel,Automatic,17.01,1968 CC,188,5
Audi A4 2.0 TDI,,12.9,2013,7,Dealer,"78,000",First Owner,Diesel,Automatic,16.55,1968 CC,147.51,5
Ford Figo Diesel Titanium,,3,2011,9,Individual,"60,000",First Owner,Diesel,Manual,20,1399 CC,68,5
Maruti Wagon R ZXI AMT 1.2BSIV,5.11,5.5,2019,1,Trustmark Dealer,"7,883",First Owner,Petrol,Automatic,21.5,1197 CC,81.8,5
Maruti Swift Dzire LDI,,3.9,2013,7,Trustmark Dealer,"50,205",First Owner,Diesel,Manual,23.4,1248 CC,74,5
Mahindra Bolero DI AC BSIII,8.93,2.6,2008,12,Individual,"2,20,000",First Owner,Diesel,Manual,13.6,2523 CC,63,7
Tata Tigor 1.05 Revotorq XT,,3.95,2017,3,Dealer,"58,000",First Owner,Diesel,Manual,24.7,1047 CC,69,5
