sl_no,vehicle_name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage
20,Hyundai i20 1.2 Magna Executive,763000,598000,2018,2,Individual,40000,First Owner,Petrol,Manual,18.6
21,Honda City i VTEC CVT SV,1268000,700000,2015,5,Dealer,31180,First Owner,Petrol,Automatic,18
22,Maruti Baleno Zeta Automatic,668000,590000,2016,4,Dealer,52427,First Owner,Petrol,Automatic,21.4
23,Mahindra Bolero B6,893000,850000,2020,0,Individual,40000,First Owner,Diesel,Manual,21
24,Mahindra KUV100 NXT G80 K8 5Str BSIV,688000,550000,2018,2,Individual,17000,First Owner,Petrol,Manual,18.15
25,Maruti Baleno Vxi - BSIII,681000,625000,2016,4,Dealer,22000,First Owner,Petrol,Manual,15.4
26,Maruti Swift Dzire ZXI,698000,600000,2016,4,Individual,54000,First Owner,Petrol,Manual,20.85
27,Maruti Wagon R LXI Optional,511000,445000,2019,1,Individual,10000,First Owner,Petrol,Manual,20.51
28,Maruti Ignis 1.2 Delta BSIV,577000,530000,2019,1,Individual,20000,First Owner,Petrol,Manual,20.89
29,Maruti Wagon R LXI CNG,597000,409999,2018,2,Trustmark Dealer,53237,First Owner,CNG,Manual,26.6
30,Datsun RediGO Gold 1.0,329000,350000,2018,2,Individual,27263,First Owner,Petrol,Manual,22.5
31,Hyundai Verna 1.6 CRDI,1284000,520000,2014,6,Individual,110000,First Owner,Diesel,Manual,22.32
32,Hyundai i20 Asta Option 1.4 CRDi,959000,750000,2016,4,Individual,70000,First Owner,Diesel,Manual,22.54
33,Hyundai i20 1.2 Spotz,802999,655000,2019,1,Dealer,39000,First Owner,Petrol,Manual,18.6
34,Hyundai i20 1.2 Spotz,783000,550000,2018,2,Individual,34000,First Owner,Petrol,Manual,18.6
35,Mahindra Scorpio 1.99 S10,1510000,1150000,2017,3,Individual,50000,First Owner,Diesel,Manual,15.4
36,Mahindra Marazzo M2 BSIV,1389000,990000,2019,1,Individual,36000,First Owner,Diesel,Manual,17.3
37,Hyundai Verna SX Opt Diesel,1274000,551000,2013,7,Dealer,47876,First Owner,Diesel,Manual,25
38,Mahindra XUV500 W11 Option AT BSIV,1654000,1650000,2018,2,Individual,21500,First Owner,Diesel,Automatic,15.1
39,Ford Aspire 1.2 Ti-VCT Titanium,685000,500000,2017,3,Dealer,58000,First Owner,Petrol,Manual,18.16
40,Maruti Swift Dzire VXI 1.2,685000,575000,2018,2,Individual,30000,First Owner,Petrol,Manual,21.21
41,Ford Figo 1.2P Titanium MT,602000,525000,2017,3,Trustmark Dealer,19093,First Owner,Petrol,Manual,18.16
42,Honda Amaze E i-Vtech,702000,400000,2014,6,Individual,50000,First Owner,Petrol,Manual,18
43,Maruti Wagon R LXI BSIII,516000,155000,2006,14,Dealer,37000,First Owner,Petrol,Manual,14
44,Honda City V MT,1313000,545000,2013,7,Individual,70000,First Owner,Petrol,Manual,16.8
45,Renault KWID RXL,362000,240000,2016,4,Individual,25000,First Owner,Petrol,Manual,25.17
46,Ford Aspire 1.2 Ti-VCT Titanium Opt,685000,480000,2017,3,Individual,30000,First Owner,Petrol,Manual,18.16
47,Hyundai i20 Magna Optional 1.2,783000,375000,2013,7,Individual,15000,First Owner,Petrol,Manual,18.5
48,Tata Tiago 1.2 Revotron XZ,563000,400000,2017,3,Individual,32100,First Owner,Petrol,Manual,23.84
49,Hyundai i20 Magna Optional 1.2,802999,550000,2016,4,Dealer,22000,First Owner,Petrol,Manual,18.5
50,Volkswagen Polo 1.2 MPI Trendline,694000,450000,2016,4,Dealer,78000,First Owner,Petrol,Manual,18.78
51,Mercedes-Benz C-Class C 200 CGI Elegance,4762000,775000,2012,8,Dealer,74352,First Owner,Petrol,Automatic,11.74
52,Maruti Wagon R VXI,516000,350000,2014,6,Individual,37000,First Owner,Petrol,Manual,20.51
53,Honda City i DTEC VX Option,1479000,550000,2014,6,Dealer,69000,First Owner,Diesel,Manual,25.1
54,Kia Seltos HTK Plus G,1119000,1080000,2019,1,Individual,12120,First Owner,Petrol,Manual,16.8
55,Maruti Alto 800 LXI,347000,229999,2013,7,Individual,55000,First Owner,Petrol,Manual,22.74
56,Hyundai i20 1.4 CRDi Magna,860000,270000,2011,9,Individual,160000,First Owner,Diesel,Manual,21.9
57,Ford Figo Petrol EXI,613000,130000,2011,9,Individual,40000,First Owner,Petrol,Manual,15.6
58,Maruti Swift Dzire VXI,653000,370000,2012,8,Dealer,46000,First Owner,Petrol,Manual,19.1
59,Maruti Baleno Delta 1.2,668000,570000,2017,3,Dealer,25000,First Owner,Petrol,Manual,21.4
60,Hyundai Verna CRDi 1.6 AT SX Option,1309000,1250000,2018,2,Dealer,14000,First Owner,Diesel,Automatic,22
61,Hyundai i20 2015-2017 Sportz 1.2,802999,590000,2016,4,Dealer,11000,First Owner,Petrol,Manual,18.6
62,Maruti Celerio VXI AMT BSIV,530000,475000,2018,2,Individual,5000,First Owner,Petrol,Automatic,23.1
63,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,1014000,685000,2017,3,Dealer,55000,First Owner,Diesel,Manual,23
64,Renault KWID 1.0 RXT Optional,397000,330000,2018,2,Individual,22000,First Owner,Petrol,Manual,23.01
65,Maruti Baleno Delta,668000,650000,2018,2,Trustmark Dealer,7671,First Owner,Petrol,Manual,21.01
66,Maruti Wagon R LXI,511000,325000,2016,4,Individual,66000,First Owner,Petrol,Manual,20.51
67,Maruti Swift Dzire AMT VXI,656000,640000,2018,2,Dealer,45156,First Owner,Petrol,Automatic,21.21
68,Hyundai Venue SX Opt Turbo BSIV,719000,949000,2019,1,Individual,25000,First Owner,Petrol,Manual,18.27
69,Hyundai Verna 1.6 CRDi SX,1284000,660000,2015,5,Individual,120000,First Owner,Diesel,Manual,23.9
70,Maruti Swift VXi BSIV,635000,434999,2014,6,Dealer,28000,First Owner,Petrol,Manual,16.1
71,Hyundai i20 Sportz 1.4 CRDi,974000,385000,2013,7,Dealer,55000,First Owner,Diesel,Manual,21.9
72,Hyundai Verna CRDi 1.6 AT SX Option,1309000,1250000,2019,1,Dealer,14000,First Owner,Diesel,Automatic,22
73,Maruti Wagon R LX BS IV,530000,155000,2009,11,Dealer,98780,First Owner,Petrol,Manual,18.9
74,Mahindra Scorpio S10 7 Seater,1510000,1150000,2016,4,Dealer,46400,First Owner,Diesel,Manual,15.4
75,Datsun GO Plus T BSIV,480000,350000,2015,5,Individual,35000,First Owner,Petrol,Manual,19.44
76,Mahindra Scorpio 1.99 S6 Plus,1510000,1125000,2017,3,Dealer,30000,First Owner,Diesel,Manual,15.4
77,Datsun GO Plus Anniversary Edition,497000,480000,2018,2,Individual,10000,First Owner,Petrol,Manual,20.62
78,Hyundai Creta 1.6 CRDi AT SX Plus,1170000,1100000,2017,3,Dealer,102000,First Owner,Diesel,Automatic,17.01
79,Hyundai Santro LP,551000,160000,2007,13,Individual,54000,First Owner,Petrol,Manual,0
80,Maruti Swift Dzire VXi,656000,340000,2012,8,Dealer,49948,First Owner,Petrol,Manual,17.5
81,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,1015000,925000,2018,2,Individual,55000,First Owner,Diesel,Manual,23
82,Hyundai Grand i10 Magna,648000,400000,2015,5,Dealer,36000,First Owner,Petrol,Manual,18.9
83,Honda City i VTEC VX Option,1268000,725000,2016,4,Dealer,49625,First Owner,Petrol,Manual,17.8
84,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,1479000,550000,2013,7,Individual,95000,First Owner,Diesel,Manual,12.05
85,Ford Aspire 1.5 TDCi Titanium,972000,585000,2017,3,Dealer,36000,First Owner,Diesel,Manual,25.83
86,Maruti Wagon R VXI,536000,411000,2019,1,Individual,50000,First Owner,Petrol,Manual,21.79
87,Maruti Swift Dzire VXI,680000,450000,2015,5,Individual,26500,First Owner,Petrol,Manual,20.85
88,Honda CR-V 2.0L 2WD AT,3264000,1290000,2015,5,Dealer,80000,First Owner,Petrol,Automatic,13.7
89,Hyundai Grand i10 Nios Asta,596000,710000,2019,1,Individual,9000,First Owner,Petrol,Manual,20.7
90,Honda City V MT,1268000,770000,2016,4,Dealer,53000,First Owner,Petrol,Manual,16.8
91,Ford Endeavour 3.2 Titanium AT 4X4,3627000,2900000,2018,2,Individual,11387,First Owner,Diesel,Automatic,10.91
92,Honda Amaze VX i-DTEC,899000,720000,2018,2,Individual,50000,First Owner,Diesel,Manual,25.8
93,Datsun GO Plus T BSIV,480000,400000,2015,5,Individual,35000,First Owner,Petrol,Manual,19.44
94,Honda Jazz 1.2 V i VTEC,856000,600000,2018,2,Individual,18000,First Owner,Petrol,Manual,18.7
95,Hyundai i20 Magna 1.2,763000,500000,2015,5,Individual,30000,First Owner,Petrol,Manual,18.6
96,Hyundai Verna 1.6 CRDi SX,1309000,650000,2015,5,Dealer,55000,First Owner,Diesel,Manual,23.9
97,Maruti Swift AMT ZXI,629000,660000,2018,2,Individual,10000,First Owner,Petrol,Automatic,21.21
98,Kia Seltos HTK Plus G,1152000,1275000,2020,0,Dealer,8000,First Owner,Petrol,Manual,16.8
99,Hyundai Grand i10 Sportz,711000,475000,2016,4,Individual,25000,First Owner,Petrol,Manual,18.9
100,Maruti Ciaz VXi Plus,942000,530000,2015,5,Individual,70000,First Owner,Petrol,Manual,20.73
101,Tata Tiago 1.2 Revotron XZ,553000,530000,2016,4,Individual,9500,First Owner,Petrol,Manual,23.84
102,Hyundai Verna 1.6 VTVT S,1018000,650000,2015,5,Individual,9100,First Owner,Petrol,Manual,17.01
103,Honda City 1.5 S MT,1224000,335000,2010,10,Dealer,86000,First Owner,Petrol,Manual,17
104,Maruti Wagon R ZXI AMT 1.2BSIV,511000,550000,2019,1,Trustmark Dealer,7883,First Owner,Petrol,Automatic,21.5
105,Mahindra Bolero DI AC BSIII,893000,260000,2008,12,Individual,220000,First Owner,Diesel,Manual,13.6
106,Mahindra Scorpio SLE BSIII,1490000,550000,2012,8,Individual,170000,First Owner,Diesel,Manual,12.05
107,Maruti Swift Dzire VXI 1.2 BS IV,662000,650000,2018,2,Individual,15000,First Owner,Petrol,Manual,22
108,Kia Seltos GTK,1119000,1300000,2019,1,Individual,7000,First Owner,Petrol,Manual,16.1
109,Maruti Celerio ZXI,530000,505000,2020,0,Individual,8700,First Owner,Petrol,Manual,21.63
110,Maruti Alto 800 LXI,347000,310000,2019,1,Individual,25000,First Owner,Petrol,Manual,24.7
111,Hyundai i20 Asta Option BSIV,802999,545000,2015,5,Dealer,42000,First Owner,Petrol,Manual,18.6
112,Mahindra Bolero DI,905000,150000,2006,14,Individual,120000,First Owner,Diesel,Manual,13.6
113,Maruti Baleno Delta 1.2,658000,580000,2018,2,Individual,50000,First Owner,Petrol,Manual,21.4
114,Maruti Wagon R VXI BS IV,535000,250000,2011,9,Individual,58000,First Owner,Petrol,Manual,18.9
115,Hyundai Verna 1.4 VTVT,1054000,650000,2017,3,Individual,36000,First Owner,Petrol,Manual,17.43
116,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,1014000,531000,2015,5,Dealer,162828,First Owner,Diesel,Manual,22.77
117,Maruti Wagon R CNG LXI BSIV,615000,434999,2018,2,Dealer,52000,First Owner,CNG,Manual,33.54
118,Ford Figo Diesel ZXI,896000,185000,2012,8,Dealer,74000,First Owner,Diesel,Manual,20
119,Mahindra Bolero 2011-2019 SLX,905000,440000,2011,9,Dealer,47000,First Owner,Diesel,Manual,15.96
120,Hyundai i20 Sportz 1.2,763000,450000,2015,5,Individual,50000,First Owner,Petrol,Manual,18.6
121,Maruti Baleno Zeta 1.2,693000,600000,2017,3,Individual,100000,First Owner,Petrol,Manual,21.4
122,Maruti Celerio VXI,512000,320000,2014,6,Individual,35000,First Owner,Petrol,Manual,23.1
123,Ford Aspire 1.2 Ti-VCT Titanium,685000,630000,2018,2,Individual,10000,First Owner,Petrol,Manual,18.16
124,Maruti Alto 800 VXI Airbag,347000,320000,2016,4,Individual,10370,First Owner,Petrol,Manual,22.74
125,Honda City V MT,1268000,465000,2013,7,Dealer,62000,First Owner,Petrol,Manual,16.8
126,Maruti Swift VVT VXI,629000,445000,2017,3,Individual,60000,First Owner,Petrol,Manual,22
127,Maruti Wagon R CNG LXI BSIV,597000,270000,2013,7,Dealer,64000,First Owner,CNG,Manual,33.54
128,Toyota Fortuner 4x4 MT,3886000,1755000,2015,5,Individual,80000,First Owner,Diesel,Manual,12.55
129,Honda City 2017-2020 VTEC,1268000,350000,2011,9,Dealer,55000,First Owner,Petrol,Manual,16.9
130,Hyundai i20 2015-2017 Sportz Option 1.2,802999,575000,2016,4,Dealer,11000,First Owner,Petrol,Manual,18.6
131,Renault KWID 1.0 RXT Optional,381000,360000,2017,3,Individual,17000,First Owner,Petrol,Manual,23.01
132,Maruti Alto 800 VXI Optional,347000,275000,2017,3,Individual,25000,First Owner,Petrol,Manual,24.7
133,Datsun GO Plus D,471000,320000,2016,4,Individual,33350,First Owner,Petrol,Manual,19.44
134,Hyundai Grand i10 Magna,648000,370000,2015,5,Dealer,62000,First Owner,Petrol,Manual,18.9
135,Maruti Swift Dzire ZXi,662000,275000,2009,11,Individual,59000,First Owner,Petrol,Manual,17.5
136,Honda City i VTEC V,1268000,550000,2014,6,Dealer,86113,First Owner,Petrol,Manual,17.4
137,Maruti Wagon R VXI,535000,272000,2015,5,Individual,92537,First Owner,Petrol,Manual,20.51
138,Honda City V MT AVN,1313000,545000,2013,7,Individual,70000,First Owner,Petrol,Manual,16.8
139,Hyundai i20 2015-2017 Magna 1.2,770000,480000,2017,3,Dealer,64000,First Owner,Petrol,Manual,18.6
140,Mahindra Scorpio 1.99 S10,1521000,1060000,2017,3,Dealer,93000,First Owner,Diesel,Manual,15.4
141,Maruti Alto 800 LXI,347000,235000,2013,7,Dealer,26200,First Owner,Petrol,Manual,22.74
142,Maruti Baleno Zeta 1.2,675000,590000,2017,3,Individual,25000,First Owner,Petrol,Manual,21.4
143,Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,3997000,2950000,2018,2,Dealer,50000,First Owner,Diesel,Automatic,12.9
144,Mahindra Scorpio M2DI,1550000,280000,2007,13,Individual,110000,First Owner,Diesel,Manual,13.5
145,Audi A4 30 TFSI Premium Plus,4880000,1851000,2016,4,Dealer,55000,First Owner,Petrol,Automatic,17.84
146,Honda City i-VTEC S,1280000,750000,2018,2,Individual,25000,First Owner,Petrol,Manual,17.4
147,Hyundai Grand i10 Magna,648000,400000,2015,5,Dealer,36000,First Owner,Petrol,Manual,18.9
148,Mahindra Thar CRDe,1412000,869999,2018,2,Individual,25000,First Owner,Diesel,Manual,16.55
149,Renault KWID RXL,343000,295000,2018,2,Dealer,30038,First Owner,Petrol,Manual,25.17
150,Maruti Swift VXI,635000,530000,2018,2,Individual,5000,First Owner,Petrol,Manual,21.21
151,Renault KWID Climber 1.0 AMT,362000,350000,2017,3,Individual,35000,First Owner,Petrol,Automatic,24.04
152,Ford Ecosport 1.5 DV5 MT Titanium,1005000,470000,2013,7,Dealer,62000,First Owner,Diesel,Manual,22.7
153,Ford Aspire 1.5 TDCi Trend,961999,390000,2015,5,Individual,42000,First Owner,Diesel,Manual,25.83
154,Mahindra Scorpio S10 7 Seater,1510000,919999,2015,5,Individual,80000,First Owner,Diesel,Manual,15.4
155,Mahindra XUV500 W8 2WD,1654000,550000,2013,7,Individual,60000,First Owner,Diesel,Manual,15.1
156,Hyundai Verna 1.6 SX,1309000,635000,2014,6,Individual,45000,First Owner,Diesel,Manual,22.32
157,Mahindra XUV500 AT W8 FWD,1654000,1250000,2017,3,Dealer,50000,First Owner,Diesel,Automatic,16
158,Maruti Alto 800 VXI,347000,300000,2018,2,Individual,12000,First Owner,Petrol,Manual,24.7
159,Honda City i-VTEC CVT V,1280000,960000,2018,2,Individual,12000,First Owner,Petrol,Automatic,18
160,Volkswagen Polo Petrol Trendline 1.2L,694000,249000,2011,9,Dealer,63000,First Owner,Petrol,Manual,16.47
161,Tata Hexa XT,1410000,1400000,2018,2,Individual,30000,First Owner,Diesel,Manual,17.6
162,Ford Figo Diesel ZXI,884000,250000,2011,9,Individual,160800,First Owner,Diesel,Manual,20
163,Hyundai Verna 1.6 SX,1284000,610000,2014,6,Individual,120000,First Owner,Diesel,Manual,22.32
164,Ford Ecosport 2015-2021 1.5 Diesel Ambiente,1014000,545000,2016,4,Dealer,78247,First Owner,Diesel,Manual,21.7
165,Hyundai Verna 1.6 CRDi EX MT,1132000,480000,2013,7,Individual,113000,First Owner,Diesel,Manual,22.32
166,Hyundai i20 2015-2017 Asta Option 1.2,802999,395000,2014,6,Dealer,52000,First Owner,Petrol,Manual,18.6
167,Ford Figo Aspire Facelift,927999,550000,2017,3,Individual,15000,First Owner,Diesel,Manual,0
168,Hyundai Grand i10 Asta Option,681000,470000,2017,3,Individual,90000,First Owner,Petrol,Manual,18.9
169,Maruti Wagon R VXI,536000,340000,2014,6,Individual,21717,First Owner,Petrol,Manual,20.51
170,Honda City i-VTEC ZX,1313000,1050000,2017,3,Individual,50000,First Owner,Petrol,Manual,17.14
171,Maruti Swift VXI Optional,635000,491000,2017,3,Dealer,27876,First Owner,Petrol,Manual,20.4
172,Land Rover Discovery Sport Si4 HSE,7025000,2890000,2016,4,Dealer,56000,First Owner,Petrol,Automatic,12.63
173,Hyundai Venue SX Turbo BSIV,806000,985000,2019,1,Dealer,5400,First Owner,Petrol,Manual,18.27
174,Tata Tiago 1.2 Revotron XT,563000,335000,2017,3,Individual,24800,First Owner,Petrol,Manual,23.84
175,Honda Jazz VX CVT,851000,740000,2018,2,Dealer,20000,First Owner,Petrol,Automatic,17.1
176,Maruti Swift VXI,604000,375000,2013,7,Dealer,34553,First Owner,Petrol,Manual,22
177,Mahindra Scorpio 1.99 S4,1510000,850000,2017,3,Individual,120000,First Owner,Diesel,Manual,15.4
178,Hyundai i20 Era 1.4 CRDi,960000,285000,2013,7,Individual,90000,First Owner,Diesel,Manual,22.54
179,Hyundai Creta 1.6 CRDi SX,1232000,1100000,2017,3,Individual,80000,First Owner,Diesel,Manual,19.67
180,Mahindra Scorpio 1.99 S6 Plus,1479000,1080000,2017,3,Individual,30000,First Owner,Diesel,Manual,15.4
181,Honda City i DTEC V,1400000,530000,2014,6,Dealer,66100,First Owner,Diesel,Manual,26
182,Mahindra Scorpio 1.99 S4 Plus,1510000,1025000,2017,3,Dealer,42000,First Owner,Diesel,Manual,15.4
183,Hyundai i20 1.2 Spotz,797000,650000,2017,3,Individual,55000,First Owner,Petrol,Manual,18.6
184,Maruti Baleno Delta Automatic,681000,686000,2019,1,Individual,5000,First Owner,Petrol,Automatic,21.4
185,Maruti Alto 800 LXI,332000,200000,2016,4,Individual,50000,First Owner,Petrol,Manual,22.74
186,Maruti Swift Dzire VXI,653000,250000,2010,10,Dealer,44000,First Owner,Petrol,Manual,19.1
187,Hyundai Verna 1.6 VTVT SX,1054000,650000,2016,4,Dealer,55000,First Owner,Petrol,Manual,17.01
188,Maruti Baleno Zeta 1.2,693000,620000,2017,3,Individual,30000,First Owner,Petrol,Manual,21.4
189,Hyundai Verna 1.6 VTVT,952999,509999,2013,7,Individual,50000,First Owner,Petrol,Manual,17.01
190,Maruti Eeco 5 Seater AC BSIV,463000,375000,2013,7,Individual,20000,First Owner,Petrol,Manual,15.37
191,Maruti Swift Dzire AMT VXI,674000,620000,2017,3,Trustmark Dealer,19843,First Owner,Petrol,Automatic,21.21
192,Ford Endeavour 3.0L 4X4 AT,3500000,950000,2011,9,Individual,30000,First Owner,Diesel,Automatic,11.4
193,Toyota Innova Crysta 2016-2020 2.4 G MT,1989999,1450000,2017,3,Dealer,52300,First Owner,Diesel,Manual,13.68
194,Honda City i VTEC CVT SV,1224000,844999,2016,4,Individual,40000,First Owner,Petrol,Automatic,18
195,Honda Amaze S i-Vtech,704000,395000,2015,5,Dealer,59000,First Owner,Petrol,Manual,18
196,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,699000,450000,2018,2,Individual,40000,First Owner,Petrol,Manual,18.9
197,Hyundai Grand i10 Magna,648000,325000,2013,7,Dealer,61000,First Owner,Petrol,Manual,18.9
198,Mahindra XUV500 W8 2WD,1654000,650000,2013,7,Dealer,63000,First Owner,Diesel,Manual,15.1
199,Mercedes-Benz E-Class E 200 CGI,7229000,1250000,2012,8,Dealer,58000,First Owner,Petrol,Manual,12.3
200,Land Rover Range Rover Evoque Convertible HSE Dynamic,6794000,7000000,2018,2,Dealer,13000,First Owner,Petrol,Automatic,12.19
201,Mini Cooper 3 DOOR S,3982000,1325000,2012,8,Dealer,67000,First Owner,Petrol,Automatic,17.33
202,Ford Figo Diesel EXI,861999,169000,2012,8,Dealer,68000,First Owner,Diesel,Manual,20
203,Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,8059999,2000000,2012,8,Dealer,98000,First Owner,Diesel,Automatic,12.07
204,Maruti Wagon R AMT VXI,516000,400000,2018,2,Individual,80000,First Owner,Petrol,Automatic,20.51
205,Hyundai Santro Sportz SE AMT BSIV,540000,565000,2020,0,Dealer,1000,First Owner,Petrol,Automatic,20.3
206,Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,1519000,300000,2010,10,Dealer,67900,First Owner,Diesel,Manual,12.05
207,Mahindra Scorpio 1.99 S10,1510000,1051000,2015,5,Dealer,40000,First Owner,Diesel,Manual,15.4
208,Renault KWID Climber 1.0 AMT,381000,370000,2018,2,Individual,25000,First Owner,Petrol,Automatic,24.04
209,Maruti Wagon R LXI,516000,200000,2006,14,Individual,70000,First Owner,Petrol,Manual,18.9
210,Mahindra Scorpio S7 140 BSIV,1510000,1290000,2018,2,Dealer,39000,First Owner,Diesel,Manual,16.36
211,Hyundai Verna 1.6 CRDI,1309000,420000,2012,8,Dealer,61000,First Owner,Diesel,Manual,22.32
212,Maruti Swift LXI Optional-O,604000,500000,2017,3,Trustmark Dealer,5743,First Owner,Petrol,Manual,20.4
213,Datsun GO Plus T Option BSIV,488000,500000,2017,3,Individual,15000,First Owner,Petrol,Manual,19.44
214,Mahindra XUV500 W6 2WD,1645000,650000,2015,5,Individual,100000,First Owner,Diesel,Manual,15.1
215,BMW Z4 M40i,7706000,8250000,2020,0,Dealer,2000,First Owner,Petrol,Automatic,11.29
216,Maruti Wagon R VXI Opt 1.2,516000,500000,2020,0,Individual,10000,First Owner,Petrol,Manual,20.52
217,Maruti Wagon R VXI with ABS,536000,325000,2014,6,Individual,30000,First Owner,Petrol,Manual,20.51
218,Honda City i VTEC S,1268000,434999,2014,6,Dealer,63000,First Owner,Petrol,Manual,17.8
219,Land Rover Discovery HSE Luxury 3.0 Si6,8607000,6200000,2018,2,Individual,25000,First Owner,Petrol,Automatic,9.17
220,Honda City i VTEC V,1268000,755000,2017,3,Dealer,32226,First Owner,Petrol,Manual,17.8
221,Renault KWID AMT RXL,394000,310000,2018,2,Individual,15000,First Owner,Petrol,Automatic,24.04
222,Toyota Fortuner 4X2 AT,3594000,1235000,2012,8,Dealer,85000,First Owner,Petrol,Automatic,0
223,BMW 6 Series GT 630i Luxury Line,7837000,5500000,2018,2,Individual,30000,First Owner,Petrol,Automatic,14.28
224,Maruti Wagon R VXI 1.2,544000,500000,2019,1,Individual,30000,First Owner,Petrol,Manual,20.52
225,Mahindra Scorpio S10 AT 2WD,1550000,1450000,2016,4,Individual,35000,First Owner,Diesel,Automatic,15.4
226,Mahindra Scorpio VLX 4WD BSIV,1480000,530000,2013,7,Individual,140000,First Owner,Diesel,Manual,12.05
227,Ford Ecosport 1.5 DV5 MT Titanium,1014000,575000,2014,6,Trustmark Dealer,65597,First Owner,Diesel,Manual,22.7
228,Hyundai i20 2015-2017 Sportz 1.2,797000,550000,2017,3,Individual,35000,First Owner,Petrol,Manual,18.6
229,Maruti Baleno Delta,681000,643000,2020,0,Individual,7124,First Owner,Petrol,Manual,21.01
230,Ford Ecosport 2015-2021 S Petrol BSIV,919000,1000000,2019,1,Individual,15000,First Owner,Petrol,Manual,18.1
231,Hyundai Grand i10 Asta,674000,550000,2016,4,Individual,34000,First Owner,Petrol,Manual,18.9
232,Tata Tigor 1.2 Revotron XT,630000,470000,2018,2,Individual,40000,First Owner,Petrol,Manual,20.3
233,Honda City i DTec V,1400000,525000,2014,6,Dealer,77000,First Owner,Diesel,Manual,26
234,Datsun GO Plus T Option BSIV,488000,469000,2017,3,Individual,15000,First Owner,Petrol,Manual,19.44
235,Maruti Alto 800 LXI,353000,200000,2013,7,Individual,120000,First Owner,Petrol,Manual,22.74
236,Renault KWID 1.0 RXT Optional,346000,400000,2019,1,Individual,2500,First Owner,Petrol,Manual,23.01
237,Maruti Celerio ZXI,498000,340000,2016,4,Individual,46500,First Owner,Petrol,Manual,23.1
238,Mercedes-Benz C-Class C 250 CDI Elegance,5130000,775000,2011,9,Dealer,45000,First Owner,Diesel,Automatic,14.94
239,Honda City i VTEC CVT SV,1268000,670000,2015,5,Dealer,28000,First Owner,Petrol,Automatic,18
240,Mahindra XUV500 W6 2WD,1645000,1050000,2018,2,Individual,50000,First Owner,Diesel,Manual,16
241,BMW X5 xDrive 30d xLine,8378000,7900000,2019,1,Individual,19000,First Owner,Diesel,Automatic,13.38
242,Honda City 1.5 S MT,1268000,360000,2011,9,Dealer,55000,First Owner,Petrol,Manual,17
